Episode,Step,Action,Temperature (°C),Reward,Total Energy (Wh),Total Reward
2,198,1,97.0383751378,-0.0030000000,95.8333333333,-0.3450000000
2,199,1,97.6633292784,-0.0263666992,96.6666666667,-0.3713666992
2,1,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,2,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,3,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,4,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,5,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,6,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,7,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,8,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,9,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,10,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,11,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,12,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,13,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,14,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,15,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,16,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,17,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,18,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,19,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,20,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,21,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,22,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,23,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,24,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,25,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,26,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,27,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,28,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,29,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,30,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,31,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,32,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,33,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,34,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,35,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,36,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,37,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,38,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,39,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,40,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,41,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,42,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,43,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,44,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,45,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,46,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,47,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,48,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,49,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,50,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,51,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,52,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,53,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,54,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,55,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,56,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,57,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,58,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,59,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,60,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,61,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,62,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,63,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,64,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,65,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,66,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,67,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,68,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,69,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,70,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,71,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,72,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,73,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,74,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,75,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,76,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,77,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,78,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,79,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,80,0,20.0000000000,0.0000000000,0.0000000000,0.0000000000
2,81,1,20.7170172084,-0.0030000000,0.8333333333,-0.0030000000
2,82,1,21.4331775607,-0.0030000000,1.6666666667,-0.0060000000
2,83,0,21.4314648724,0.0000000000,1.6666666667,-0.0060000000
2,84,1,22.1467714392,-0.0030000000,2.5000000000,-0.0090000000
2,85,1,22.8612231942,-0.0030000000,3.3333333333,-0.0120000000
2,86,1,23.5748211588,-0.0030000000,4.1666666667,-0.0150000000
2,87,1,24.2875663534,-0.0030000000,5.0000000000,-0.0180000000
2,88,1,24.9994597971,-0.0030000000,5.8333333333,-0.0210000000
2,89,1,25.7105025077,-0.0030000000,6.6666666667,-0.0240000000
2,90,1,26.4206955018,-0.0030000000,7.5000000000,-0.0270000000
2,91,1,27.1300397949,-0.0030000000,8.3333333333,-0.0300000000
2,92,1,27.8385364013,-0.0030000000,9.1666666667,-0.0330000000
2,93,1,28.5461863339,-0.0030000000,10.0000000000,-0.0360000000
2,94,1,29.2529906045,-0.0030000000,10.8333333333,-0.0390000000
2,95,1,29.9589502238,-0.0030000000,11.6666666667,-0.0420000000
2,96,1,30.6640662011,-0.0030000000,12.5000000000,-0.0450000000
2,97,1,31.3683395445,-0.0030000000,13.3333333333,-0.0480000000
2,98,1,32.0717712611,-0.0030000000,14.1666666667,-0.0510000000
2,99,0,32.0573451482,0.0000000000,14.1666666667,-0.0510000000
2,100,1,32.7599534834,-0.0030000000,15.0000000000,-0.0540000000
2,101,1,33.4617221814,-0.0030000000,15.8333333333,-0.0570000000
2,102,1,34.1626522457,-0.0030000000,16.6666666667,-0.0600000000
2,103,1,34.8627446785,-0.0030000000,17.5000000000,-0.0630000000
2,104,1,35.5620004808,-0.0030000000,18.3333333333,-0.0660000000
2,105,1,36.2604206523,-0.0030000000,19.1666666667,-0.0690000000
2,106,1,36.9580061916,-0.0030000000,20.0000000000,-0.0720000000
2,107,1,37.6547580963,-0.0030000000,20.8333333333,-0.0750000000
2,108,1,38.3506773624,-0.0030000000,21.6666666667,-0.0780000000
2,109,1,39.0457649851,-0.0030000000,22.5000000000,-0.0810000000
2,110,1,39.7400219581,-0.0030000000,23.3333333333,-0.0840000000
2,111,1,40.4334492741,-0.0030000000,24.1666666667,-0.0870000000
2,112,1,41.1260479246,-0.0030000000,25.0000000000,-0.0900000000
2,113,1,41.8178188998,-0.0030000000,25.8333333333,-0.0930000000
2,114,1,42.5087631889,-0.0030000000,26.6666666667,-0.0960000000
2,115,1,43.1988817797,-0.0030000000,27.5000000000,-0.0990000000
2,116,1,43.8881756591,-0.0030000000,28.3333333333,-0.1020000000
2,117,1,44.5766458124,-0.0030000000,29.1666666667,-0.1050000000
2,118,1,45.2642932242,-0.0030000000,30.0000000000,-0.1080000000
2,119,1,45.9511188776,-0.0030000000,30.8333333333,-0.1110000000
2,120,1,46.6371237547,-0.0030000000,31.6666666667,-0.1140000000
2,121,1,47.3223088363,-0.0030000000,32.5000000000,-0.1170000000
2,122,1,48.0066751020,-0.0030000000,33.3333333333,-0.1200000000
2,123,1,48.6902235304,-0.0030000000,34.1666666667,-0.1230000000
2,124,1,49.3729550988,-0.0030000000,35.0000000000,-0.1260000000
2,125,0,49.3378535751,0.0000000000,35.0000000000,-0.1260000000
2,126,1,50.0198112070,-0.0030000000,35.8333333333,-0.1290000000
2,127,1,50.7009538801,-0.0030000000,36.6666666667,-0.1320000000
2,128,1,51.3812825681,-0.0030000000,37.5000000000,-0.1350000000
2,129,1,52.0607982438,-0.0030000000,38.3333333333,-0.1380000000
2,130,1,52.7395018788,-0.0030000000,39.1666666667,-0.1410000000
2,131,1,53.4173944434,-0.0030000000,40.0000000000,-0.1440000000
2,132,1,54.0944769070,-0.0030000000,40.8333333333,-0.1470000000
2,133,1,54.7707502377,-0.0030000000,41.6666666667,-0.1500000000
2,134,1,55.4462154023,-0.0030000000,42.5000000000,-0.1530000000
2,135,1,56.1208733667,-0.0030000000,43.3333333333,-0.1560000000
2,136,1,56.7947250955,-0.0030000000,44.1666666667,-0.1590000000
2,137,1,57.4677715521,-0.0030000000,45.0000000000,-0.1620000000
2,138,1,58.1400136989,-0.0030000000,45.8333333333,-0.1650000000
2,139,1,58.8114524971,-0.0030000000,46.6666666667,-0.1680000000
2,140,1,59.4820889066,-0.0030000000,47.5000000000,-0.1710000000
2,141,1,60.1519238864,-0.0030000000,48.3333333333,-0.1740000000
2,142,1,60.8209583942,-0.0030000000,49.1666666667,-0.1770000000
2,143,1,61.4891933866,-0.0030000000,50.0000000000,-0.1800000000
2,144,1,62.1566298189,-0.0030000000,50.8333333333,-0.1830000000
2,145,1,62.8232686456,-0.0030000000,51.6666666667,-0.1860000000
2,146,1,63.4891108198,-0.0030000000,52.5000000000,-0.1890000000
2,147,1,64.1541572935,-0.0030000000,53.3333333333,-0.1920000000
2,148,1,64.8184090176,-0.0030000000,54.1666666667,-0.1950000000
2,149,1,65.4818669418,-0.0030000000,55.0000000000,-0.1980000000
2,150,1,66.1445320148,-0.0030000000,55.8333333333,-0.2010000000
2,151,1,66.8064051840,-0.0030000000,56.6666666667,-0.2040000000
2,152,1,67.4674873957,-0.0030000000,57.5000000000,-0.2070000000
2,153,1,68.1277795953,-0.0030000000,58.3333333333,-0.2100000000
2,154,1,68.7872827268,-0.0030000000,59.1666666667,-0.2130000000
2,155,1,69.4459977331,-0.0030000000,60.0000000000,-0.2160000000
2,156,1,70.1039255560,-0.0030000000,60.8333333333,-0.2190000000
2,157,1,70.7610671364,-0.0030000000,61.6666666667,-0.2220000000
2,158,1,71.4174234137,-0.0030000000,62.5000000000,-0.2250000000
2,159,1,72.0729953265,-0.0030000000,63.3333333333,-0.2280000000
2,160,1,72.7277838120,-0.0030000000,64.1666666667,-0.2310000000
2,161,1,73.3817898065,-0.0030000000,65.0000000000,-0.2340000000
2,162,1,74.0350142450,-0.0030000000,65.8333333333,-0.2370000000
2,163,1,74.6874580617,-0.0030000000,66.6666666667,-0.2400000000
2,164,1,75.3391221892,-0.0030000000,67.5000000000,-0.2430000000
2,165,1,75.9900075595,-0.0030000000,68.3333333333,-0.2460000000
2,166,1,76.6401151030,-0.0030000000,69.1666666667,-0.2490000000
2,167,1,77.2894457494,-0.0030000000,70.0000000000,-0.2520000000
2,168,1,77.9380004270,-0.0030000000,70.8333333333,-0.2550000000
2,169,1,78.5857800632,-0.0030000000,71.6666666667,-0.2580000000
2,170,1,79.2327855842,-0.0030000000,72.5000000000,-0.2610000000
2,171,1,79.8790179150,-0.0030000000,73.3333333333,-0.2640000000
2,172,1,80.5244779796,-0.0030000000,74.1666666667,-0.2670000000
2,173,1,81.1691667010,-0.0030000000,75.0000000000,-0.2700000000
2,174,1,81.8130850008,-0.0030000000,75.8333333333,-0.2730000000
2,175,1,82.4562337998,-0.0030000000,76.6666666667,-0.2760000000
2,176,1,83.0986140175,-0.0030000000,77.5000000000,-0.2790000000
2,177,1,83.7402265725,-0.0030000000,78.3333333333,-0.2820000000
2,178,1,84.3810723820,-0.0030000000,79.1666666667,-0.2850000000
2,179,1,85.0211523625,-0.0030000000,80.0000000000,-0.2880000000
2,180,1,85.6604674289,-0.0030000000,80.8333333333,-0.2910000000
2,181,1,86.2990184956,-0.0030000000,81.6666666667,-0.2940000000
2,182,1,86.9368064754,-0.0030000000,82.5000000000,-0.2970000000
2,183,1,87.5738322803,-0.0030000000,83.3333333333,-0.3000000000
2,184,1,88.2100968211,-0.0030000000,84.1666666667,-0.3030000000
2,185,1,88.8456010075,-0.0030000000,85.0000000000,-0.3060000000
2,186,1,89.4803457481,-0.0030000000,85.8333333333,-0.3090000000
2,187,1,90.1143319506,-0.0030000000,86.6666666667,-0.3120000000
2,188,1,90.7475605214,-0.0030000000,87.5000000000,-0.3150000000
2,189,1,91.3800323659,-0.0030000000,88.3333333333,-0.3180000000
2,190,1,92.0117483884,-0.0030000000,89.1666666667,-0.3210000000
2,191,1,92.6427094922,-0.0030000000,90.0000000000,-0.3240000000
2,192,1,93.2729165793,-0.0030000000,90.8333333333,-0.3270000000
2,193,1,93.9023705509,-0.0030000000,91.6666666667,-0.3300000000
2,194,1,94.5310723069,-0.0030000000,92.5000000000,-0.3330000000
2,195,1,95.1590227463,-0.0030000000,93.3333333333,-0.3360000000
2,196,1,95.7862227669,-0.0030000000,94.1666666667,-0.3390000000
